sample,lab_ID,time_window,country,group,cluster,hom_derived,hom_intergenic,hom_synonymous,hom_lof,lof_syn_ratio,lof_total_ratio,lof_intergenic_ratio,het_derived,het_synonymous,het_lof,het_lof_syn_ratio
ZA1869.1,mwr_TG0449,SWRpre,South Africa,SWRpre South Africa,SWRpre East,10199923,8574160,72766,1019,0.014003793,9.99027149518678E-05,0.0001188455,732148,5774,165,0.0285763769
ZA-un.1,mwr_TGF03,SWRpre,South Africa,SWRpre South Africa,SWRpre West,19156858,16556558,54019,1320,0.0244358466,6.89048277123524E-05,7.97267161447446E-05,1319661,4822,194,0.0402322688
NA1856.1,mwr_TGF05,SWRpre,Namibia,SWRpre Namibia,SWRpre East,7512058,6335645,43245,679,0.0157012371,0.000090388,0.0001071714,750582,5066,168,0.0331622582
NA1845.1,mwr_TGF06,SWRpre,Namibia,SWRpre Namibia,SWRpre West,15351277,13212255,48227,1081,0.0224148299,7.04175945753568E-05,0.000081818,1331257,5347,241,0.045072003
NA1857.1,mwr_TGF07,SWRpre,Namibia,SWRpre Namibia,SWRpre West,16948642,14621193,51247,1211,0.0236306516,7.14511522516081E-05,0.000082825,1268462,5007,194,0.0387457559
ZA1995.1,mwr_TGF10,SWRpost,South Africa,SWRpost South Africa,SWRpost wild,10168165,8387211,82716,1195,0.0144470236,0.0001175237,0.0001424788,661734,5591,159,0.028438562
ZA2009.1,mwr_TGF11,SWRpost,South Africa,SWRpost South Africa,SWRpost wild,13014203,10954431,86871,1329,0.0152985461,0.0001021192,0.0001213208,962328,6497,206,0.0317069417
un2004.1,mwr_TGF13,SWRpost,South Africa,SWRpost South Africa,SWRpost wild,18655731,15849560,92403,1681,0.01819205,9.01063592737266E-05,0.0001060597,1004857,5953,202,0.033932471
ZA1976.1,mwr_TGF17,SWRpost,South Africa,SWRpost South Africa,SWRpost wild,13673677,11711603,58000,1074,0.0185172414,7.85450760611063E-05,9.17039281471546E-05,776087,3985,130,0.0326223338
cap2009.1,wr_P9109_102,SWRpost,captive,SWRpost captive,SWRpost captive,16501833,13916432,88490,1506,0.0170188722,9.12625888287683E-05,0.0001082174,676977,3512,94,0.0267653759
cap2010.1,wr_P9109_103,SWRpost,captive,SWRpost captive,SWRpost captive,17179429,14576509,86715,1499,0.0172865133,8.72555193772738E-05,0.0001028367,726295,3719,106,0.0285022856
cap2008.1,wr_P9109_104,SWRpost,captive,SWRpost captive,SWRpost captive,19498297,16600255,92689,1687,0.0182006495,8.65203766257125E-05,0.0001016249,842739,3929,111,0.0282514635
cap2011.1,wr_P9109_105,SWRpost,captive,SWRpost captive,SWRpost captive,16980201,14423676,77883,1420,0.0182324769,8.36268074800763E-05,9.84492441455285E-05,779108,3444,100,0.0290360046
cap2011.2,wr_P9109_106,SWRpost,captive,SWRpost captive,SWRpost captive,19575734,16764576,80488,1578,0.019605407,0.00008061,0.000094127,780890,3456,114,0.0329861111
cap2011.3,wr_P9109_107,SWRpost,captive,SWRpost captive,SWRpost captive,20571525,17546521,95065,1758,0.0184926103,8.54579327492736E-05,0.0001001908,876204,4096,125,0.0305175781
ZA2012.1,wr_P9109_108,SWRpost,South Africa,SWRpost South Africa,SWRpost wild,16244072,13830072,79084,1390,0.017576248,8.55696773567613E-05,0.0001005056,713224,3671,108,0.0294197766
ZA1968.1,wr_P9109_109,SWRpost,South Africa,SWRpost South Africa,SWRpost wild,19638453,16745804,91426,1713,0.0187364645,8.72268299341094E-05,0.0001022943,832072,3876,105,0.0270897833
ZA1969.1,wr_P9109_110,SWRpost,South Africa,SWRpost South Africa,SWRpost wild,19171718,16335343,90489,1650,0.0182342605,8.6064274469299E-05,0.000101008,820401,3862,114,0.0295183843
